Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

17:02:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:02:54          0     37.37      0.00     11.11      0.00      0.00     51.52
17:02:56          0     38.00      0.00     11.00      0.00      0.00     51.00
17:02:58          0     39.02      0.00     11.22      0.00      0.00     49.76
17:03:00          0     40.70      0.00      9.05      0.00      0.00     50.25
17:03:02          0     41.09      0.00      9.41      0.00      0.00     49.50
17:03:04          0     37.00      0.00     12.00      0.00      0.00     51.00
17:03:06          0     39.39      0.00      9.09      0.00      0.00     51.52
17:03:08          0     38.89      0.00     10.10      0.00      0.00     51.01
17:03:10          0     42.16      0.00      7.35      0.00      0.00     50.49
17:03:12          0     37.62      0.00     11.39      0.00      0.00     50.99
17:03:14          0     39.29      0.00     10.20      0.00      0.00     50.51
17:03:16          0     39.61      0.00     11.11      0.00      0.00     49.28
17:03:18          0     40.19      0.00     10.53      0.00      0.00     49.28
17:03:20          0     37.56      0.00     12.68      0.00      0.00     49.76
17:03:22          0     39.60      0.00      9.41      0.00      0.00     50.99
17:03:24          0     35.79      0.00     11.58      0.00      0.00     52.63
17:03:26          0     39.20      0.00      9.55      0.00      0.00     51.26
17:03:28          0     39.90      0.00      8.87      0.00      0.00     51.23
17:03:30          0     40.10      0.00      9.41      0.00      0.00     50.50
17:03:32          0     37.95      0.00     10.77      0.00      0.00     51.28
17:03:34          0     37.44      0.00      9.74      0.00      0.00     52.82
17:03:36          0     38.92      0.00     10.84      0.00      0.00     50.25
17:03:38          0     37.93      0.00     11.82      0.00      0.00     50.25
17:03:40          0     41.50      0.00      7.50      0.00      0.00     51.00
17:03:42          0     41.46      0.00      7.80      0.00      0.00     50.73
17:03:44          0     40.91      0.00      9.09      0.00      0.00     50.00
17:03:46          0     38.73      0.00     10.78      0.00      0.00     50.49
17:03:48          0     36.63      0.00     13.37      0.00      0.00     50.00
17:03:50          0     40.91      0.00      9.09      0.00      0.00     50.00
17:03:52          0     39.49      0.00      8.21      0.00      0.00     52.31
Average:          0     39.16      0.00     10.14      0.00      0.00     50.71
