mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520960391466,0.939553,0.629921,0.157687,0.094488,0.906289,1.008015,0.813810,0.909371,0.853888,0.634970,0.128327,0.085867,14711386.514151,2532185.945383,943124.650185,1576224.973213
1520960391566,0.881735,0.136483,0.130092,0.094488,0.905672,1.007398,0.807028,0.908138,0.797372,0.137493,0.106048,0.085808,14711386.592258,2532185.957792,943124.660719,1576224.981807
1520960391666,0.869908,0.125984,0.135348,0.094488,0.906289,1.008015,0.807645,0.908138,0.788388,0.126994,0.109313,0.085808,14711386.671179,2532185.970416,943124.671228,1576224.990408
1520960391766,0.875164,0.128609,0.120894,0.094488,0.905672,1.007398,0.807028,0.908138,0.791422,0.129560,0.097565,0.085808,14711386.749665,2532185.982684,943124.681661,1576224.999000
1520960391866,0.863338,0.120735,0.124836,0.094488,0.905672,1.007398,0.807028,0.908138,0.781901,0.121628,0.100746,0.085808,14711386.828089,2532185.994915,943124.692443,1576225.007601
1520960391966,0.858081,0.115486,0.137976,0.094488,0.905672,1.008015,0.807028,0.908138,0.778330,0.119057,0.111351,0.085808,14711386.906586,2532186.007239,943124.703288,1576225.016193
1520960392066,0.850197,0.115486,0.126150,0.094488,0.905672,1.007398,0.806412,0.908138,0.770000,0.116340,0.101729,0.085808,14711386.985185,2532186.019728,943124.713870,1576225.024795
1520960392167,0.851511,0.112861,0.144547,0.094488,0.905672,1.007398,0.807028,0.908138,0.771190,0.111052,0.116653,0.085808,14711387.063178,2532186.031746,943124.725030,1576225.033387
1520960392267,0.875164,0.128609,0.131406,0.094488,0.906289,1.007398,0.807645,0.908138,0.793151,0.129560,0.106129,0.085808,14711387.141279,2532186.043767,943124.735641,1576225.041989
1520960392367,0.858081,0.115486,0.132720,0.094488,0.905672,1.008015,0.807028,0.908138,0.778330,0.116411,0.104988,0.085808,14711387.218966,2532186.055461,943124.746649,1576225.050582
1520960392467,0.839685,0.104987,0.124836,0.094488,0.905672,1.007398,0.807645,0.908138,0.760479,0.105764,0.100823,0.085808,14711387.296358,2532186.067025,943124.757004,1576225.059181
1520960392567,0.860710,0.115486,0.135348,0.094488,0.905672,1.007398,0.807028,0.908138,0.780711,0.116340,0.108169,0.085808,14711387.372583,2532186.077776,943124.766941,1576225.067771
1520960392667,0.838371,0.104987,0.120894,0.094488,0.905672,1.007398,0.806412,0.908138,0.759289,0.105764,0.097490,0.085808,14711387.449259,2532186.088803,943124.777070,1576225.076370
1520960392767,0.843627,0.107612,0.123522,0.094488,0.905672,1.007398,0.807028,0.908138,0.765239,0.108408,0.100746,0.085808,14711387.526294,2532186.100100,943124.787974,1576225.084960
1520960392867,0.840999,0.104987,0.126150,0.094488,0.905672,1.007398,0.807028,0.908138,0.761669,0.105764,0.101806,0.085808,14711387.602906,2532186.111205,943124.798185,1576225.093559
1520960392967,0.840999,0.104987,0.127464,0.094488,0.905672,1.007398,0.807028,0.908138,0.760479,0.105764,0.101806,0.085808,14711387.679422,2532186.122168,943124.808478,1576225.102150
1520960393067,0.864652,0.120735,0.132720,0.094488,0.905672,1.007398,0.807028,0.908138,0.783091,0.121628,0.107109,0.085808,14711387.756390,2532186.133385,943124.819037,1576225.110747
1520960393168,0.862024,0.120735,0.144547,0.094488,0.905055,1.007398,0.807645,0.908755,0.777801,0.121628,0.116742,0.085867,14711387.833290,2532186.144574,943124.830093,1576225.119339
1520960393268,0.835742,0.102362,0.172142,0.094488,0.905672,1.007398,0.806412,0.908755,0.756909,0.103120,0.138817,0.085867,14711387.910144,2532186.155722,943124.840990,1576225.127938
1520960393368,0.838371,0.104987,0.130092,0.094488,0.905672,1.007398,0.807028,0.908138,0.760479,0.105764,0.106048,0.085808,14711387.987213,2532186.166979,943124.852328,1576225.136530
1520960393468,0.862024,0.115486,0.135348,0.094488,0.906289,1.007398,0.807028,0.908138,0.781242,0.116340,0.109230,0.085808,14711388.065212,2532186.178849,943124.863578,1576225.145134
1520960393568,0.850197,0.102362,0.051248,0.094488,0.905672,1.007398,0.807028,0.908138,0.770000,0.103120,0.042419,0.085808,14711388.143267,2532186.189859,943124.869321,1576225.153724
1520960393668,0.851511,0.102362,0.052562,0.094488,0.905672,1.007398,0.806412,0.908138,0.771190,0.103120,0.042387,0.085808,14711388.220940,2532186.200265,943124.873535,1576225.162321
