mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520967031852,0.901445,0.742782,0.139290,0.099738,0.906289,1.008015,0.812577,0.909371,0.816970,0.748735,0.113184,0.090698,14716560.261948,2535297.059794,943515.825380,1576836.316633
1520967031952,0.850197,0.740157,0.053876,0.099738,0.906289,1.008015,0.811961,0.909988,0.771048,0.743444,0.043779,0.090760,14716560.340594,2535297.130400,943515.829913,1576836.325664
1520967032052,0.843627,0.797900,0.053876,0.097113,0.906289,1.007398,0.812577,0.908755,0.765760,0.803803,0.043779,0.088252,14716560.418794,2535297.205008,943515.834356,1576836.334656
1520967032152,0.863338,0.729659,0.053876,0.099738,0.906905,1.009248,0.813194,0.909371,0.782433,0.744353,0.043779,0.090698,14716560.497213,2535297.279547,943515.838793,1576836.343652
1520967032252,0.856767,0.763780,0.053876,0.099738,0.906289,1.008015,0.812577,0.908755,0.780051,0.769901,0.043779,0.090637,14716560.575042,2535297.355677,943515.843201,1576836.352647
1520967032352,0.860710,0.700787,0.053876,0.099738,0.906289,1.008015,0.812577,0.909371,0.778330,0.706404,0.043779,0.090698,14716560.652826,2535297.433383,943515.847606,1576836.361624
1520967032453,0.844941,0.800525,0.053876,0.097113,0.906289,1.008015,0.813194,0.908755,0.765760,0.806941,0.042743,0.088252,14716560.730609,2535297.509605,943515.852017,1576836.370619
1520967032553,0.854139,0.771654,0.053876,0.097113,0.906289,1.007398,0.811961,0.908138,0.776478,0.777362,0.043746,0.088192,14716560.808883,2535297.582475,943515.856437,1576836.379639
1520967032653,0.892247,0.656168,0.055191,0.099738,0.906289,1.008015,0.811961,0.909371,0.807442,0.661427,0.044813,0.090698,14716560.888185,2535297.653240,943515.860912,1576836.388691
1520967032753,0.883049,0.648294,0.055191,0.099738,0.906289,1.008015,0.811961,0.909371,0.800297,0.653490,0.044813,0.090698,14716560.967293,2535297.724109,943515.865379,1576836.397741
1520967032853,0.863338,0.734908,0.053876,0.099738,0.906289,1.007398,0.812577,0.909371,0.782433,0.740345,0.043779,0.090698,14716561.046685,2535297.793652,943515.869829,1576836.406803
1520967032953,0.843627,0.803150,0.053876,0.099738,0.906289,1.007398,0.812577,0.908755,0.764569,0.809092,0.043779,0.090637,14716561.124868,2535297.868685,943515.874254,1576836.415817
1520967033053,0.843627,0.805774,0.052562,0.099738,0.906289,1.008015,0.812577,0.908755,0.764569,0.812232,0.042711,0.090637,14716561.202526,2535297.945881,943515.878673,1576836.424821
1520967033153,0.850197,0.800525,0.052562,0.099738,0.906289,1.007398,0.812577,0.908138,0.770524,0.806447,0.042711,0.090575,14716561.279592,2535298.025824,943515.883065,1576836.433811
1520967033254,0.843627,0.803150,0.053876,0.097113,0.905672,1.007398,0.812577,0.908755,0.764049,0.809092,0.043779,0.088252,14716561.356933,2535298.105144,943515.887464,1576836.442815
1520967033354,0.872536,0.713911,0.055191,0.099738,0.907522,1.008631,0.813194,0.909371,0.793577,0.719633,0.044915,0.090698,14716561.435031,2535298.179844,943515.891879,1576836.451866
1520967033454,0.898817,0.706037,0.055191,0.099738,0.906289,1.008015,0.813194,0.909371,0.815142,0.709050,0.044847,0.090698,14716561.514661,2535298.251311,943515.896334,1576836.460944
1520967033554,0.855453,0.753281,0.053876,0.099738,0.906289,1.008015,0.812577,0.909371,0.776478,0.759318,0.043746,0.090698,14716561.594526,2535298.321159,943515.900830,1576836.470022
1520967033654,0.862024,0.779528,0.053876,0.097113,0.906289,1.007398,0.811961,0.908138,0.781242,0.785295,0.043779,0.088192,14716561.673088,2535298.394713,943515.905262,1576836.479100
1520967033754,0.871222,0.107612,0.052562,0.097113,0.905672,1.007398,0.807028,0.908138,0.789579,0.108408,0.042452,0.088192,14716561.753208,2535298.447065,943515.909690,1576836.488117
1520967033854,0.854139,0.671916,0.053876,0.099738,0.905672,1.008015,0.811961,0.908138,0.773570,0.677301,0.043746,0.090575,14716561.832529,2535298.508239,943515.914131,1576836.497172
1520967033955,0.844941,0.805774,0.053876,0.097113,0.906289,1.007398,0.812577,0.908755,0.765760,0.811736,0.043779,0.088252,14716561.911090,2535298.579772,943515.918573,1576836.506223
1520967034055,0.852825,0.805774,0.053876,0.099738,0.906289,1.008631,0.813194,0.909371,0.771715,0.812729,0.042711,0.090698,14716561.988039,2535298.661337,943515.922962,1576836.515217
1520967034155,0.871222,0.727034,0.053876,0.099738,0.906905,1.007398,0.811344,0.908755,0.786006,0.732413,0.043712,0.090637,14716562.065498,2535298.739866,943515.927368,1576836.524247
1520967034255,0.872536,0.664042,0.055191,0.099738,0.906289,1.008015,0.812577,0.908755,0.793151,0.669364,0.044847,0.090637,14716562.143520,2535298.816784,943515.931783,1576836.533297
1520967034355,0.843627,0.805774,0.053876,0.099738,0.905672,1.007398,0.811961,0.908138,0.764049,0.811736,0.043746,0.090575,14716562.223410,2535298.883326,943515.936286,1576836.542373
1520967034455,0.847569,0.805774,0.053876,0.099738,0.906289,1.008015,0.812577,0.908138,0.768142,0.812232,0.043779,0.090575,14716562.300300,2535298.964354,943515.940671,1576836.551396
1520967034555,0.860710,0.766404,0.053876,0.099738,0.906289,1.009248,0.813194,0.909988,0.780051,0.773492,0.043812,0.090760,14716562.377356,2535299.045157,943515.945056,1576836.560431
1520967034656,0.848883,0.803150,0.053876,0.099738,0.906289,1.008015,0.812577,0.908755,0.769333,0.809587,0.043779,0.090637,14716562.455027,2535299.122628,943515.949471,1576836.569493
1520967034756,0.860710,0.107612,0.052562,0.097113,0.906289,1.008015,0.807645,0.908138,0.780051,0.108474,0.042452,0.088192,14716562.534129,2535299.190931,943515.953911,1576836.578558
1520967034856,0.850197,0.800525,0.053876,0.099738,0.906289,1.007398,0.812577,0.909371,0.770524,0.806447,0.043779,0.090698,14716562.613402,2535299.258092,943515.958383,1576836.587608
1520967034956,0.852825,0.803150,0.053876,0.099738,0.906289,1.008015,0.812577,0.908755,0.772906,0.809587,0.043779,0.090637,14716562.690423,2535299.339182,943515.962781,1576836.596657
1520967035056,0.877792,0.729659,0.055191,0.102362,0.907522,1.008015,0.813194,0.910604,0.796616,0.735507,0.044881,0.093211,14716562.768025,2535299.417380,943515.967196,1576836.605724
1520967035156,0.860710,0.112861,0.052562,0.097113,0.906289,1.008015,0.806412,0.908138,0.780051,0.113765,0.042387,0.088192,14716562.846873,2535299.459163,943515.971563,1576836.614704
1520967035256,0.850197,0.800525,0.053876,0.099738,0.906905,1.008015,0.813194,0.908755,0.770524,0.803803,0.043779,0.090637,14716562.926648,2535299.526862,943515.976052,1576836.623771
1520967035357,0.854139,0.790026,0.053876,0.099738,0.906905,1.008015,0.812577,0.908755,0.775288,0.791067,0.043779,0.088252,14716563.003637,2535299.607764,943515.980435,1576836.632802
1520967035457,0.855453,0.782152,0.053876,0.099738,0.906289,1.008015,0.812577,0.908755,0.776478,0.785775,0.043779,0.090637,14716563.080946,2535299.687150,943515.984835,1576836.641864
1520967035557,0.910644,0.404199,0.063075,0.097113,0.906289,1.008631,0.812577,0.910604,0.825306,0.407688,0.052361,0.088431,14716563.160330,2535299.736166,943515.989279,1576836.650863
1520967035657,0.848883,0.800525,0.053876,0.099738,0.906289,1.008015,0.812577,0.909988,0.769333,0.804295,0.043812,0.090760,14716563.241093,2535299.801824,943515.993825,1576836.659940
1520967035757,0.897503,0.713911,0.056505,0.099738,0.906905,1.008631,0.813194,0.910604,0.814588,0.720073,0.045949,0.090821,14716563.318890,2535299.880619,943515.998232,1576836.668995
1520967035857,0.871222,0.776903,0.055191,0.099738,0.906905,1.008015,0.813194,0.909371,0.793038,0.783130,0.044881,0.090698,14716563.396566,2535299.959591,943516.002636,1576836.678062
1520967035957,0.844941,0.797900,0.053876,0.099738,0.906289,1.008015,0.812577,0.909371,0.765760,0.804295,0.043779,0.090698,14716563.474777,2535300.036918,943516.007071,1576836.687138
1520967036058,0.862024,0.763780,0.053876,0.099738,0.908138,1.007398,0.813810,0.909988,0.782837,0.769430,0.044915,0.090760,14716563.552972,2535300.113531,943516.011521,1576836.696217
1520967036158,0.871222,0.690289,0.055191,0.099738,0.907522,1.007398,0.813194,0.908755,0.793038,0.695396,0.044881,0.090637,14716563.632726,2535300.180987,943516.016041,1576836.705298
1520967036258,0.862024,0.561680,0.053876,0.099738,0.906289,1.008015,0.811961,0.908755,0.784815,0.566182,0.044813,0.090637,14716563.714359,2535300.251721,943516.020674,1576836.714384
1520967036358,0.844941,0.808399,0.053876,0.099738,0.906289,1.008015,0.812577,0.908755,0.765760,0.814878,0.042711,0.090637,14716563.792922,2535300.323777,943516.025127,1576836.723466
1520967036458,0.844941,0.800525,0.053876,0.099738,0.906905,1.007398,0.812577,0.908755,0.766281,0.806447,0.043779,0.090637,14716563.870161,2535300.404334,943516.029526,1576836.732545
1520967036558,0.894875,0.664042,0.055191,0.099738,0.906905,1.008015,0.812577,0.909988,0.811567,0.669364,0.044847,0.090760,14716563.949695,2535300.476042,943516.034014,1576836.741634
1520967036658,0.844941,0.792651,0.053876,0.099738,0.905672,1.007398,0.812577,0.908138,0.765239,0.798515,0.043779,0.090575,14716564.030401,2535300.545323,943516.038545,1576836.750725
1520967036759,0.867280,0.750656,0.053876,0.099738,0.906905,1.008015,0.813194,0.909371,0.786541,0.756673,0.043812,0.090698,14716564.108106,2535300.622561,943516.042962,1576836.759810
1520967036859,0.851511,0.713911,0.053876,0.099738,0.906289,1.008015,0.813194,0.909988,0.771715,0.719633,0.043812,0.090760,14716564.185960,2535300.699444,943516.047389,1576836.768894
