Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:30:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:01          0     36.14      0.00     12.38      0.00      0.00     51.49
18:31:01          2     38.54      0.00      8.33      0.00      0.00     53.12
18:31:01          4     37.37      0.00     10.61      0.00      0.00     52.02
18:31:01          6     37.19      0.00     10.55      0.00      0.00     52.26
18:31:01          8     37.56      0.00      9.64      0.00      0.00     52.79
18:31:01         10     39.80      0.00      7.65      0.00      0.00     52.55
18:31:01         12     38.61      0.00     10.89      0.00      0.00     50.50
18:31:01         14     37.57      0.00      8.47      0.00      0.00     53.97
18:31:01         16     37.24      0.00      9.69      0.00      0.00     53.06
18:31:01         18     42.86      0.00      4.59      0.00      0.00     52.55
18:31:01         20     39.60      0.00      8.91      0.00      0.00     51.49
18:31:01         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:03          0     41.21      0.00      8.54      0.00      0.00     50.25
18:31:03          2     41.18      0.00      8.33      0.00      0.00     50.49
18:31:03          4     41.29      0.00      8.96      0.00      0.00     49.75
18:31:03          6     37.82      0.00      9.84      0.00      0.00     52.33
18:31:03          8     41.95      0.00      8.29      0.00      0.00     49.76
18:31:03         10     36.27      0.00     10.88      0.00      0.00     52.85
18:31:03         12     36.17      0.00      9.04      0.00      0.00     54.79
18:31:03         14     39.90      0.00      8.08      0.00      0.00     52.02
18:31:03         16     38.58      0.00     10.15      0.00      0.00     51.27
18:31:03         18     39.80      0.00      8.67      0.00      0.00     51.53
18:31:03         20     35.57      0.00     12.37      0.00      0.00     52.06
18:31:03         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:05          0     38.38      0.00     10.10      0.00      0.00     51.52
18:31:05          2     38.66      0.00      8.76      0.00      0.00     52.58
18:31:05          4     39.60      0.00     10.40      0.00      0.00     50.00
18:31:05          6     40.10      0.00      9.41      0.00      0.00     50.50
18:31:05          8     41.12      0.00      7.61      0.00      0.00     51.27
18:31:05         10     41.87      0.00      8.87      0.00      0.00     49.26
18:31:05         12     41.50      0.00      7.50      0.00      0.00     51.00
18:31:05         14     38.54      0.00      8.33      0.00      0.00     53.12
18:31:05         16     39.81      0.00     10.68      0.00      0.00     49.51
18:31:05         18     41.58      0.00      8.91      0.00      0.00     49.50
18:31:05         20     40.50      0.00      8.50      0.00      0.00     51.00
18:31:05         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:07          0     38.61      0.00     11.39      0.00      0.00     50.00
18:31:07          2     39.30      0.00     10.45      0.00      0.00     50.25
18:31:07          4     39.00      0.00     10.50      0.00      0.00     50.50
18:31:07          6     38.66      0.00      8.76      0.00      0.00     52.58
18:31:07          8     39.60      0.00      9.90      0.00      0.00     50.50
18:31:07         10     37.43      0.00      7.49      0.00      0.00     55.08
18:31:07         12     40.20      0.00      9.05      0.00      0.00     50.75
18:31:07         14     42.79      0.00      6.97      0.00      0.00     50.25
18:31:07         16     41.71      0.00      8.04      0.00      0.00     50.25
18:31:07         18     37.95      0.00     10.26      0.00      0.00     51.79
18:31:07         20     38.50      0.00     11.00      0.00      0.00     50.50
18:31:07         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:09          0     39.00      0.00     10.00      0.00      0.00     51.00
18:31:09          2     40.40      0.00      9.09      0.00      0.00     50.51
18:31:09          4     39.80      0.00      8.96      0.00      0.00     51.24
18:31:09          6     39.90      0.00      7.25      0.00      0.00     52.85
18:31:09          8     39.71      0.00     10.78      0.00      0.00     49.51
18:31:09         10     42.16      0.00      7.84      0.00      0.00     50.00
18:31:09         12     39.38      0.00      8.29      0.00      0.00     52.33
18:31:09         14     42.71      0.00      6.03      0.00      0.00     51.26
18:31:09         16     39.58      0.00      7.29      0.00      0.00     53.12
18:31:09         18     38.78      0.00      9.18      0.00      0.00     52.04
18:31:09         20     38.54      0.00      8.33      0.00      0.00     53.12
18:31:09         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:11          0     38.65      0.00     12.56      0.00      0.00     48.79
18:31:11          2     40.30      0.00      9.45      0.00      0.00     50.25
18:31:11          4     39.90      0.00      8.08      0.00      0.00     52.02
18:31:11          6     41.18      0.00      8.82      0.00      0.00     50.00
18:31:11          8     38.89      0.00     10.10      0.00      0.00     51.01
18:31:11         10     39.22      0.00     10.78      0.00      0.00     50.00
18:31:11         12     37.95      0.00      9.23      0.00      0.00     52.82
18:31:11         14     40.49      0.00      9.27      0.00      0.00     50.24
18:31:11         16     39.18      0.00      8.25      0.00      0.00     52.58
18:31:11         18     38.50      0.00     10.50      0.00      0.00     51.00
18:31:11         20     40.61      0.00      7.61      0.00      0.00     51.78
18:31:11         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:13          0     41.58      0.00      7.92      0.00      0.00     50.50
18:31:13          2     40.00      0.00      6.32      0.00      0.00     53.68
18:31:13          4     37.11      0.00      9.79      0.00      0.00     53.09
18:31:13          6     37.17      0.00      9.95      0.00      0.00     52.88
18:31:13          8     38.14      0.00      9.28      0.00      0.00     52.58
18:31:13         10     36.08      0.00      9.79      0.00      0.00     54.12
18:31:13         12     36.13      0.00     10.47      0.00      0.00     53.40
18:31:13         14     38.97      0.00      8.21      0.00      0.00     52.82
18:31:13         16     40.31      0.00      7.65      0.00      0.00     52.04
18:31:13         18     39.90      0.00     11.06      0.00      0.00     49.04
18:31:13         20     36.56      0.00      8.60      0.00      0.00     54.84
18:31:13         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:15          0     38.07      0.00     10.66      0.00      0.00     51.27
18:31:15          2     38.78      0.00      8.16      0.00      0.00     53.06
18:31:15          4     36.65      0.00      9.95      0.00      0.00     53.40
18:31:15          6     38.69      0.00     10.55      0.00      0.00     50.75
18:31:15          8     38.92      0.00     10.34      0.00      0.00     50.74
18:31:15         10     40.51      0.00      7.69      0.00      0.00     51.79
18:31:15         12     37.37      0.00     11.62      0.00      0.00     51.01
18:31:15         14     39.30      0.00     10.45      0.00      0.00     50.25
18:31:15         16     37.63      0.00      9.28      0.00      0.00     53.09
18:31:15         18     42.29      0.00      6.97      0.00      0.00     50.75
18:31:15         20     41.00      0.00      8.00      0.00      0.00     51.00
18:31:15         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:17          0     39.70      0.00      9.05      0.00      0.00     51.26
18:31:17          2     38.38      0.00      9.09      0.00      0.00     52.53
18:31:17          4     39.49      0.00      8.21      0.00      0.00     52.31
18:31:17          6     39.36      0.00      6.38      0.00      0.00     54.26
18:31:17          8     40.40      0.00      8.08      0.00      0.00     51.52
18:31:17         10     36.55      0.00     10.15      0.00      0.00     53.30
18:31:17         12     37.69      0.00      9.55      0.00      0.00     52.76
18:31:17         14     38.46      0.00      9.23      0.00      0.00     52.31
18:31:17         16     36.41      0.00     10.26      0.00      0.00     53.33
18:31:17         18     37.56      0.00     10.66      0.00      0.00     51.78
18:31:17         20     36.60      0.00      9.79      0.00      0.00     53.61
18:31:17         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:19          0     36.27      0.00     13.24      0.00      0.00     50.49
18:31:19          2     37.76      0.00      9.69      0.00      0.00     52.55
18:31:19          4     40.20      0.00      8.54      0.00      0.00     51.26
18:31:19          6     36.04      0.00     11.17      0.00      0.00     52.79
18:31:19          8     35.57      0.00     11.34      0.00      0.00     53.09
18:31:19         10     37.76      0.00      9.18      0.00      0.00     53.06
18:31:19         12     36.41      0.00     10.77      0.00      0.00     52.82
18:31:19         14     37.50      0.00      9.38      0.00      0.00     53.12
18:31:19         16     41.62      0.00      7.11      0.00      0.00     51.27
18:31:19         18     41.79      0.00      8.46      0.00      0.00     49.75
18:31:19         20     39.90      0.00      8.59      0.00      0.00     51.52
18:31:19         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:21          0     38.69      0.00     11.06      0.00      0.00     50.25
18:31:21          2     38.62      0.00      7.41      0.00      0.00     53.97
18:31:21          4     38.69      0.00     11.56      0.00      0.00     49.75
18:31:21          6     41.58      0.00      8.91      0.00      0.00     49.50
18:31:21          8     38.27      0.00     10.20      0.00      0.00     51.53
18:31:21         10     42.00      0.00      8.00      0.00      0.00     50.00
18:31:21         12     39.49      0.00      9.23      0.00      0.00     51.28
18:31:21         14     37.76      0.00      9.69      0.00      0.00     52.55
18:31:21         16     40.82      0.00      7.65      0.00      0.00     51.53
18:31:21         18     37.50      0.00     12.00      0.00      0.00     50.50
18:31:21         20     39.06      0.00      9.90      0.00      0.00     51.04
18:31:21         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:23          0     37.63      0.00     10.82      0.00      0.00     51.55
18:31:23          2     38.42      0.00     11.33      0.00      0.00     50.25
18:31:23          4     36.13      0.00     10.99      0.00      0.00     52.88
18:31:23          6     37.37      0.00     10.10      0.00      0.00     52.53
18:31:23          8     40.40      0.00      9.09      0.00      0.00     50.51
18:31:23         10     37.11      0.00     10.31      0.00      0.00     52.58
18:31:23         12     38.27      0.00      9.69      0.00      0.00     52.04
18:31:23         14     38.14      0.00     10.31      0.00      0.00     51.55
18:31:23         16     39.39      0.00      9.09      0.00      0.00     51.52
18:31:23         18     40.70      0.00      8.54      0.00      0.00     50.75
18:31:23         20     37.00      0.00     12.00      0.00      0.00     51.00
18:31:23         22      5.56      0.00      0.00      0.00      0.00     94.44

18:31:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:25          0     36.63      0.00     12.87      0.00      0.00     50.50
18:31:25          2     37.11      0.00      9.79      0.00      0.00     53.09
18:31:25          4     40.00      0.00      7.50      0.00      0.00     52.50
18:31:25          6     39.30      0.00      9.45      0.00      0.00     51.24
18:31:25          8     41.00      0.00      8.50      0.00      0.00     50.50
18:31:25         10     38.07      0.00      9.14      0.00      0.00     52.79
18:31:25         12     37.95      0.00      9.74      0.00      0.00     52.31
18:31:25         14     37.31      0.00     11.44      0.00      0.00     51.24
18:31:25         16     37.31      0.00      9.33      0.00      0.00     53.37
18:31:25         18     39.90      0.00      8.59      0.00      0.00     51.52
18:31:25         20     38.54      0.00      7.29      0.00      0.00     54.17
18:31:25         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:27          0     38.27      0.00      9.69      0.00      0.00     52.04
18:31:27          2     36.84      0.00     10.53      0.00      0.00     52.63
18:31:27          4     38.58      0.00      9.14      0.00      0.00     52.28
18:31:27          6     36.73      0.00     10.71      0.00      0.00     52.55
18:31:27          8     37.81      0.00     11.44      0.00      0.00     50.75
18:31:27         10     39.00      0.00     10.00      0.00      0.00     51.00
18:31:27         12     40.20      0.00      8.54      0.00      0.00     51.26
18:31:27         14     37.06      0.00      9.64      0.00      0.00     53.30
18:31:27         16     40.10      0.00      9.41      0.00      0.00     50.50
18:31:27         18     40.00      0.00      9.00      0.00      0.00     51.00
18:31:27         20     40.80      0.00      9.45      0.00      0.00     49.75
18:31:27         22      0.00      0.00      0.00      0.00      0.00    100.00

18:31:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:31:29          0     39.70      0.00     10.05      0.00      0.00     50.25
18:31:29          2     38.38      0.00     10.10      0.00      0.00     51.52
18:31:29          4     38.50      0.00     10.50      0.00      0.00     51.00
18:31:29          6     38.42      0.00      8.42      0.00      0.00     53.16
18:31:29          8     36.92      0.00     10.26      0.00      0.00     52.82
18:31:29         10     39.51      0.00     10.73      0.00      0.00     49.76
18:31:29         12     40.20      0.00      8.54      0.00      0.00     51.26
18:31:29         14     38.97      0.00      8.72      0.00      0.00     52.31
